# Stable Matching code - Data file - Subsection 6.9
# MA424 Final project - 2019/20
# Author: 46286


param n:= 30; # number of internships
param m:= 30; # number of applicants / students

param StdPref: 	
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30:=
15	2	5	7	4	6	10	3	8	9	1	32	59	58	33	58	50	54	55	52	44	46	36	49	39	37	60	38	45	52	55
16	3	9	1	5	2	6	10	7	8	4	31	45	54	60	46	44	45	50	42	41	38	57	50	54	55	59	43	48	37	49
17	10	6	4	3	9	2	5	8	1	7	41	47	40	38	55	46	46	40	54	57	56	51	59	46	31	43	54	52	39	32
18	1	6	8	2	9	3	4	7	10	5	37	34	32	39	52	56	47	35	59	60	47	56	57	56	40	57	55	57	47	37
19	7	3	4	5	9	10	2	6	1	8	52	42	59	32	37	48	41	31	43	48	43	58	52	58	36	33	50	42	42	44
20	7	9	5	6	2	1	4	3	8	10	42	38	52	35	34	40	36	56	44	50	42	54	48	40	41	47	34	43	36	56
21	5	3	10	8	9	4	1	6	2	7	56	37	56	47	57	45	49	32	31	42	59	32	56	42	44	42	53	34	45	42
22	1	8	7	10	9	2	5	4	6	3	39	50	38	40	41	34	53	44	36	32	58	47	40	49	47	32	40	38	31	58
23	10	1	6	9	2	7	8	4	3	5	55	35	42	42	48	42	58	43	38	33	52	55	34	60	38	35	58	58	41	35
24	10	8	2	5	4	1	6	9	7	3	51	39	50	52	56	53	44	33	47	51	41	31	31	44	39	48	47	33	33	34
25	8	7	10	2	9	6	4	5	1	3	58	52	36	45	38	47	55	57	55	37	33	59	60	55	59	37	37	54	35	45
26	8	9	1	2	10	6	5	4	3	7	48	33	31	55	51	31	50	42	58	35	60	50	38	45	49	44	48	37	34	48
27	8	3	4	6	9	10	5	7	1	2	36	54	44	36	59	32	52	52	48	43	34	49	37	37	34	55	41	59	57	31
28	9	1	8	6	7	10	2	5	3	4	46	55	48	56	39	36	37	39	37	36	51	39	44	57	35	50	36	31	50	47
29	5	1	10	3	4	6	2	8	7	9	34	31	53	46	44	43	35	34	32	58	54	33	41	59	58	45	33	51	56	36
30	9	5	2	1	3	7	10	8	4	6	59	36	46	44	42	49	42	49	51	59	57	34	45	33	51	54	57	39	58	39;

param IntPref:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30:=
1	6	8	17	2	10	4	29	12	28	9	30	26	18	7	11	19	24	23	14	25	27	13	22	21	1	16	5	20	15	3
2	26	14	28	18	30	7	25	21	13	17	20	12	11	22	29	3	27	24	8	1	4	15	6	5	19	9	16	10	2	23
3	23	13	1	2	15	10	27	14	8	12	6	9	16	26	7	30	3	20	18	22	4	25	28	17	29	21	19	5	24	11
4	26	16	6	9	11	17	12	23	15	29	2	25	1	3	4	28	8	18	7	21	10	22	30	13	14	27	20	24	5	19
5	23	14	17	21	9	15	27	16	12	28	24	4	5	11	7	26	30	13	1	29	2	10	25	18	19	20	22	3	6	8
6	30	2	15	24	12	7	17	5	26	25	14	19	10	22	6	4	13	8	3	23	28	11	18	20	21	1	9	27	16	29
7	18	23	21	30	15	11	12	3	25	4	7	27	16	13	1	24	22	8	20	5	2	26	19	28	17	29	9	10	14	6
8	12	15	2	29	7	5	21	22	8	16	19	24	14	25	27	11	3	20	6	30	13	9	10	26	17	1	23	4	18	28
9	1	12	5	17	4	2	23	8	9	22	7	10	13	14	19	16	15	18	29	25	28	3	6	21	27	24	20	30	26	11
10	24	22	12	29	7	15	18	11	26	8	21	2	20	4	1	9	28	27	13	25	19	6	17	30	14	5	16	23	10	3
11	41	43	33	50	49	52	40	47	32	34	51	35	56	53	55	48	36	39	44	45	60	58	42	57	37	59	46	54	31	38
12	51	54	46	52	59	53	43	31	55	48	47	60	58	34	35	36	39	50	33	37	42	57	49	44	32	38	45	40	56	41
13	41	57	37	54	43	39	32	42	46	45	59	47	52	55	50	38	33	31	44	49	56	35	34	53	40	36	51	60	58	48
14	33	53	37	54	34	46	49	52	57	58	38	31	55	45	42	50	35	39	47	32	40	43	48	51	56	60	59	36	44	41
15	32	54	49	50	58	40	39	56	44	48	46	59	52	33	43	47	34	31	38	41	45	53	60	51	42	36	37	35	57	55
16	43	31	55	51	42	54	40	37	50	45	41	44	33	36	58	49	53	46	59	38	60	47	32	34	52	48	57	39	56	35
17	56	36	37	43	54	40	35	52	33	50	31	57	58	53	41	39	49	47	60	46	42	32	34	51	48	45	38	55	59	44
18	55	36	42	33	60	46	49	38	57	52	51	32	31	40	50	53	54	58	41	39	35	56	59	37	34	43	47	44	48	45
19	34	60	43	53	59	46	44	54	48	42	36	55	47	57	50	45	51	31	32	38	52	37	33	39	58	35	40	56	49	41
20	37	52	54	44	57	35	53	40	49	48	58	38	41	51	39	31	60	43	42	50	55	45	33	32	36	59	34	56	47	46
21	31	40	33	39	53	47	59	41	50	52	36	43	56	51	54	34	45	37	44	35	58	49	55	32	60	57	48	42	38	46
22	36	39	42	44	58	37	48	51	40	41	55	56	52	47	33	50	35	46	45	38	53	57	34	54	31	49	59	32	60	43
23	34	40	41	55	53	57	42	43	44	58	47	49	31	35	54	50	48	60	36	39	59	52	32	45	33	46	38	51	37	56
24	55	50	41	53	44	52	48	43	39	54	38	58	33	31	60	46	56	37	40	57	32	35	49	42	34	51	36	45	47	59
25	58	36	38	60	57	39	40	44	35	48	42	56	41	31	49	47	46	34	54	45	32	53	33	55	51	37	52	59	50	43
26	53	43	59	54	33	45	34	38	51	44	58	60	41	49	46	56	55	47	52	48	36	50	57	39	37	40	35	42	32	31
27	45	53	52	36	44	54	32	42	57	50	48	58	49	60	34	38	51	33	35	39	56	47	31	41	46	43	37	59	55	40
28	36	53	59	49	50	34	38	33	40	51	60	37	41	42	45	47	43	58	44	54	31	55	46	48	35	32	57	39	52	56
29	36	44	39	41	38	34	32	35	45	46	43	49	51	53	56	33	57	48	50	52	47	54	55	60	59	42	37	31	40	58
30	45	54	38	57	49	50	35	33	44	53	47	60	43	40	32	31	41	37	52	42	56	39	55	51	58	48	36	46	34	59;
